name,year,duration,rating,genre,director,main_star,plot,image
The Shawshank Redemption,1994,2h 22m,,Epic,,,,https://www.imdb.com/title/tt0111161/mediaviewer/rm1690056449/?ref_=tt_ov_i
The Godfather,1972,2h 55m,,Epic,,,,https://www.imdb.com/title/tt0068646/mediaviewer/rm746868224/?ref_=tt_ov_i
The Dark Knight,2008,2h 32m,,Action Epic,,,,https://www.imdb.com/title/tt0468569/mediaviewer/rm4023877632/?ref_=tt_ov_i
Schindler's List,1993,3h 15m,,Docudrama,,,,https://www.imdb.com/title/tt0108052/mediaviewer/rm4180899840/?ref_=tt_ov_i
The Lord of the Rings: The Return of the King,2003,3h 21m,,Action Epic,,,,https://www.imdb.com/title/tt0167260/mediaviewer/rm584928512/?ref_=tt_ov_i
12 Angry Men,1957,1h 36m,,Legal Drama,,,,https://www.imdb.com/title/tt0050083/mediaviewer/rm2927108352/?ref_=tt_ov_i
The Godfather Part II,1974,3h 22m,,Epic,,,,https://www.imdb.com/title/tt0071562/mediaviewer/rm4159262464/?ref_=tt_ov_i
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,,Action Epic,,,,https://www.imdb.com/title/tt0120737/mediaviewer/rm3592958976/?ref_=tt_ov_i
Pulp Fiction,1994,2h 34m,,Dark Comedy,,,,https://www.imdb.com/title/tt0110912/mediaviewer/rm1959546112/?ref_=tt_ov_i
Inception,2010,2h 28m,,Action Epic,,,,https://www.imdb.com/title/tt1375666/mediaviewer/rm3426651392/?ref_=tt_ov_i
Fight Club,1999,2h 19m,,Psychological Drama,,,,https://www.imdb.com/title/tt0137523/mediaviewer/rm1412004864/?ref_=tt_ov_i
Forrest Gump,1994,2h 22m,,Epic,,,,https://www.imdb.com/title/tt0109830/mediaviewer/rm1954748672/?ref_=tt_ov_i
The Lord of the Rings: The Two Towers,2002,2h 59m,,Action Epic,,,,https://www.imdb.com/title/tt0167261/mediaviewer/rm306845440/?ref_=tt_ov_i
"The Good, the Bad and the Ugly",1966,2h 28m,,Adventure Epic,,,,https://www.imdb.com/title/tt0060196/mediaviewer/rm1383786241/?ref_=tt_ov_i
12th Fail,2023,2h 27m,,Docudrama,,,,https://www.imdb.com/title/tt23849204/mediaviewer/rm1104434689/?ref_=tt_ov_i
Interstellar,2014,2h 49m,,Adventure Epic,,,,https://www.imdb.com/title/tt0816692/mediaviewer/rm4043724800/?ref_=tt_ov_i
GoodFellas,1990,2h 25m,,Docudrama,,,,https://www.imdb.com/title/tt0099685/mediaviewer/rm2091797760/?ref_=tt_ov_i
The Matrix,1999,2h 16m,,Action Epic,,,,https://www.imdb.com/title/tt0133093/mediaviewer/rm525547776/?ref_=tt_ov_i
One Flew Over the Cuckoo's Nest,1975,2h 13m,,Medical Drama,,,,https://www.imdb.com/title/tt0073486/mediaviewer/rm2186479360/?ref_=tt_ov_i
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,,Action Epic,,,,https://www.imdb.com/title/tt0080684/mediaviewer/rm3114097664/?ref_=tt_ov_i
Seven,1995,2h 7m,,Cop Drama,,,,https://www.imdb.com/title/tt0114369/mediaviewer/rm3116368640/?ref_=tt_ov_i
The Green Mile,1999,3h 9m,,Period Drama,,,,https://www.imdb.com/title/tt0120689/mediaviewer/rm946247936/?ref_=tt_ov_i
The Silence of the Lambs,1991,1h 58m,,Police Procedural,,,,https://www.imdb.com/title/tt0102926/mediaviewer/rm3242988544/?ref_=tt_ov_i
City of God,2002,2h 10m,,Caper,,,,https://www.imdb.com/title/tt0317248/mediaviewer/rm3233433856/?ref_=tt_ov_i
Star Wars: Episode IV - A New Hope,1977,2h 1m,,Action Epic,,,,https://www.imdb.com/title/tt0076759/mediaviewer/rm164871937/?ref_=tt_ov_i
